Cuadrante;Remocion;longitud total;longitud mm
1;1;6.81;68.1
1;1;6.94;69.4
1;1;1.78;17.8
1;2;0;0
1;3;0;0
1;1;6.81;68.1
1;1;6.94;69.4
1;1;1.78;17.8
1;2;0;0
1;3;0;0
2;1;0;0
2;2;0;0
2;3;0;0
3;1;0;0
3;2;0;0
4;1;0;0
4;2;0;0
4;3;0;0
5;1;2.25;22.5
5;2;0;0
5;3;0;0
6;1;0;0
6;2;0;0
6;3;0;0
7;1;2.95;29.5
7;1;2.1;21
7;2;2.56;25.6
7;1;2.17;21.7
7;1;2.94;29.4
7;1;2.73;27.3
7;1;2.56;25.6
7;1;2.1;21
7;2;2.3;23
7;2;2.19;21.9
7;2;2.12;21.2
7;2;2.17;21.7
7;2;2.05;20.5
7;3;1.96;19.6
7;3;2.01;20.1
7;3;2.17;21.7
7;3;2.1;21
7;3;2.34;23.4
8;1;2.05;20.5
8;1;2.03;20.3
8;1;2.2;22
8;1;2.34;23.4
8;1;2.28;22.8
8;1;2.27;22.7
8;1;2.53;25.3
8;1;1.97;19.7
8;1;2.25;22.5
8;1;2.15;21.5
8;2;2.34;23.4
8;2;2.68;26.8
8;2;2.2;22
8;2;2.5;25
8;2;2.69;26.9
8;2;2.44;24.4
8;2;1.99;19.9
8;3;2.22;22.2
8;2;2.13;21.3
8;2;2.15;21.5
9;1;0;0
9;2;0;0
9;3;0;0
